Company,Address,TIFDistrict,CompletionDate,ActualCosts,ActualGrant,WorkItems
Norwood Paper,7001 W. 60th St.,Harlem Industrial,05/15/2014,178938.44,89323.12,"installation of new TPO roof systems including flashings and drainage for over 210,000 SF of warehouse space, and upgrades to loading docks including new huggies and bumpers, dock shelters and leveling of dock pits"
"Chicago Lock Box, LLC",3400 W. 111th Street,111th/ Kedzie,05/16/2014,17270.00,12952.50,"replacement of roof including decking, joists, and new membrane, and replacement of rooftop heating and A/C unit connecting to existing ductwork"
Paket Corp.,9165 S. Harbor,South Chicago,05/16/2014,32500.00,16250.00,removal of old chain link fencing and installation of new high steel fence with high rolling gate system
Advanced Window Corp,4935 W. Le Moyne St.,North/ Cicero,05/19/2014,69534.00,34767.00,"epoxy flooring for 21,792 SF of space in the warehouse and fabrication area of the facility"
David Lee,6031 W. Irving Park,West Irving Park,05/19/2014,12195.00,9146.25,"installation of security cameras, concrete work, and 200 AMP electrical service system upgrade for commercial space"
"Portage Park Dental Associates, Ltd.",5613-5 W. Irving Park Rd.,West Irving Park,05/20/2014,202176.00,150000.00,"demolition, concrete work, façade improvement (masonry repairs including demolition, tuckpointing, and cleaning and repairs to existing brick), new storefront system (frames and windows), interior renovations to reception area, electrical, steel beams and lintels, HVAC, signage, wrought iron gates, roofing, copings, drywall, and materials for the façade"
Kemal Sabovic,4030-34 N. Milwaukee,Portage Park,05/22/2014,236100.00,100000.00,"renovating three vacant commercial spaces and storefronts with new storefront windows and doors, masonry repairs and tuckpointing, rough and finish plumbing work, mechanical HVAC work, rough and finish electrical including light fixtures, concrete work, insulation, rough and finish carpentry and drywall, painting and finishing"
"Tops and Bottom, Inc.",3960 W. Madison St.,Madison/ Austin,05/29/2014,151000.00,100000.00,"masonry repair and tuckpointing, façade renovations including opening windows for display cases and installation of awnings, signage and soffit lighting, and HVAC and electrical upgrades"
"Pediment Ventures, LLC - Series 6300",6300 S. Woodlawn Ave.,Woodlawn,06/02/2014,87130.00,65347.50,"partial HVAC, rough plumbing, rough electrical, rough carpentry"
Ray Rovello ,6616 S. Pulaski ,63rd/ Pulaski,06/04/2014,58430.50,43822.88,"masonry and tuckpointing work on the front of the building and south elevation including parapet wall, replacement of limestone window sills on the façade, replacement of hot water heater and boiler, installation of new 200 amp electrical service with three new circuit panels, a complete roof replacement including decking repairs, new membrane, flashings and coping repairs, and general contractor and permit fee soft costs"
"OM Fine Linen, Inc. dba Down Under",2554 W. Lawrence,Western Ave North,06/06/2014,65275.52,38218.16,"finishing of storefront installation, rough and finish carpentry including insulation, flooring, roofing, rough and finish electrical, plumbing, and HVAC systems and fixtures, painting and finishing work"
"Progressive Truck Driving School, Inc.",5538 W Belmont,Belmont/ Central,06/06/2014,203080.00,100000.00,"interior and exterior renovations to four commercial spaces including exterior tuckpointing work, new signs and storefront windows, rough plumbing and sewer work, plumbing fixtures and remodeling of restrooms, electrical work and light fixtures, carpentry and framing, new drop ceilings, flooring work including tiling, roofing work including flashings and new copings, replacement of rooftop HVAC units, and painting in each of the commercial units"
"AA Tempo Auto, Inc. ",3431 N. Pulaski Rd. ,Avondale,06/09/2014,53000.00,39750.00,Masonry
Ene Ki Park,5002 N. Pulaski Rd.,Lawrence/ Pulaski,06/09/2014,25686.11,19264.66,"tuck-pointing, parking lot paving and stripping"
"Wholly Basil, LLC dba Herb Restaurant",5422-24 N. Broadway,Bryn Mawr/ Broadway,06/12/2014,142700.00,44866.83,"HVAC work including duct work, and kitchen exhaust system, electrical service upgrades and light fixtures, rough and finish plumbing including fixtures for two restrooms, rough and finish carpentry work, flooring and tiling, new storefront system including windows and entry door, façade repairs (lintel repairs), and installation of new awning (awning not yet installed, but fabricated)"
"Paws & Claws Day Care, Inc.",5015 N Western Ave,Western Ave North,06/13/2014,36369.19,27276.89,"patch exterior walls of garage area and paint; install drywall and paint inside of garage; paint walk way side side of main building; replace window in grooming room; build knee wall with door to separate rooms; demolish receptionist area and patch walls; new door openings for receptionist and animal access; new countertops and cabinets; priming and painting; sand floors and varnish; install new knee wall, wood paneling, baseboards, and new door; new façade windows and siding; new HVAC and associated duct work; and new front doors"
Paket Corp.,9165 S. Harbor,South Chicago,06/16/2014,106657.00,53328.50,"roofing including removal of defunct metal framing, installation of 16 new gypsum deck panels, new insulation, repairing drains including tapered insulation, raising of gas line, new flashings against brick walls and skylight, aluminum coating, and new metal edges"
"GreenWay Resource Recovery, LLC",2100 S. Kilbourn Ave.,Roosevelt/Cicero,06/17/2014,113187.58,56593.79,balance of three-phase electrical service upgrades; concrete removal and replacement
Little Kids Learning,3732 W. 63rd St.,63rd/ Pulaski,06/17/2014,51300.10,38475.08,"demolition of interior and storefront for build out of daycare, rough carpentry and framing work for interior layout, flooring, HVAC work including a new furnace and ductwork, rough plumbing work, new windows, and general contracting services"
"ABC Dance Academy, Inc.",4444-6 N. Milwaukee Ave.,Jefferson Park,06/19/2014,10500.00,7875.00,"drywall, flooring,"
"Midway Cleaners Depot, Inc.",4950-2 S. Cicero Ave.,Cicero/ Archer,06/19/2014,109554.75,82166.06,"roofing, demolition, masonry repairs, drywall, acoustical ceilings, painting, electrical, GC services, and permit expenses"
"T & J Plumbing, Inc. ",5251 W. Belmont Ave. ,Belmont Central,06/20/2014,3050.00,2287.50,Overhead garage door
Active Electrical Supply Co.,4240 W. Lawrence Ave.,Lawrence/ Pulaski,06/24/2014,187916.10,91970.89,"a new storefront system with tempered glass and new aluminum capping, new masonry knee walls, tuckpointing and masonry repairs including lintel repairs and replacements, garage service door and rear entry door replacements, parking lot paving with asphalt and installation of new wrought iron fencing, installation of security camera system (DVR, monitors and software not included), installation of low voltage alarm system, and installation of new vinyl, wood based flooring spanning 5,000 SF"
"4038 N. Milwaukee Mgmt Group, LLC / Tao Entertainment, Inc. dba Community",4038 N. Milwaukee Ave.,Portage Park,06/25/2014,150000.00,66666.66,"demolition, structural reinforcements to flooring and support beams, rough carpentry, rough and finish electrical (including emergency lights and exit signs), rough and finish plumbing (includes adding water service)"
"Ork, Inc. dba Ork Posters",1761 W. Berteau Ave.,Ravenswood,06/27/2014,7390.00,5542.50,installation of 24” LED channel letter exterior signage
JJ Styles ,4716 N. Pulaski ,Lawrence/Pulaski,07/07/2014,49737.00,36927.50,"parking lot paving, concrete slab, and carpeting"
"Caseline, Inc.",1900 S. Western Ave.,Western/Ogden,07/09/2014,157839.70,77804.26,"the balance of the approved projects: demolition, framing, drywall, insulation, ceilings, doors, frames, hardware, bathroom renovations, counters, painting, cut brick openings with lintels, plumbing, plumbing fixtures, electrical service upgrades and improvements associated with interior renovations, exhaust piping, flooring, roofing work, new third floor windows, storefront work (frames, windows, doors), repairs to freight elevator, and architectural services"
"Broadway Medical Office, S.C.",5449 N. Broadway ,Bryn Mawr/Broadway,07/14/2014,104874.50,78655.88,"conversion of two apartment units into space for additional medical office functionality (includes demolition, building systems renovations, framing, drywall, and finish carpentry); demolition of porch and private apartment entrance area and stairs; roofing; and architectural services"
"House of Hair, Inc.",4761 N. Milwaukee Ave.,Jefferson Park,07/16/2014,74023.24,55517.43,"remove and replace stairs and landing from salon to parking area; replace cabinets; painting; replace damaged drop ceiling; new traditional stucco below new window and recoat with traditional stucco below old window, ceiling, and between doors; parking lot improvements; new storefront system; HVAC improvements; new roofing system"
"Karmina Jewlery, Inc.",3610 W. Irving Park Rd.,Irving Park/Elston,07/16/2014,64855.00,48641.25,"rebuilding masonry façade with new brick and limestone sills and copings, and removal of old canopy and awning"
"Diana's Daycare Center, LLC",5961 N. Clark St.,Clark/Ridge,07/17/2014,92000.00,16666.67,"balance of the  build-out of 5961 N. Clark for daycare operations: demolition, framing, plumbing, flooring, electrical, HVAC, drywall, insulation, ceiling work, plumbing fixtures, electrical fixtures, fire alarm system, interior doors, window openings, finish carpentry, cabinets, tile work, painting, and a new back doo"
Jazzy Flowers ,35 S. Racine Ave. ,Central West,07/17/2014,37500.00,28125.00,replacement of windows
Marc Barney,4200 W. Wrightwood Ave. ,Pulaski Industrial,07/17/2014,53500.00,40125.00,rebuild masonry wall
Sean Ghassemi,407 W. North Ave.,Near North,07/17/2014,23590.00,17692.50,"roofing repairs including new flashings and masonry repairs on parapet wall, and installation of new rolling parking gate with steel frame dedicated to chiropractor’s office (Mr. Ghassemi’s commercial tenant)"
Bloom Quintero Realty Co.,10511 S Ewing Ave,Ewing Avenue,07/22/2014,7500.00,5625.00,"Storefront, roofing, parking lot"
"James Calvetti Meats, Inc.",4240 S. Morgan St.,Stockyards Annex,07/22/2014,21090.00,10545.00,energy efficient lighting retrofit
Crystal & Dominique House of Beauty/Master Thift Store,1730-36 E. 87th St. ,Stony Island/Burnside,07/31/2014,32700.00,24525.00,roofing
Jeffery Manor Auto Wash Inc,2544 E. 95th St.,Commercial Avenue,08/04/2014,9130.00,6847.50,asbestos abatement; demolition and removal of existing wall paneling; install new PVC paneling on walls and ceiling; removal of asbestos
Active Electrical Supply Co.,4240 W. Lawrence Ave.,Lawrence/Pulaski,08/05/2014,118398.00,58029.11,"re-roofing including tuckpointing and masonry repairs on parapet walls and behind flashings, installation of new gutter and downspouts, tuckpointing and masonry repairs on east elevation, new exterior service doors, and installation of aluminum capping on fascia, trim and soffits"
Janson's Drive-In,9900 S Western Ave,Western/Rock Island,08/07/2014,43952.33,32964.25,"the balance of the rehabilitation expenses for the restaurant: electrical (interior and exterior), lighting (including lights in parking lot) HVAC (rooftop units, curbs, gas lines, ductwork, insulation, diffusers, grilles, thermostat), curbs for exhaust fans and make-up air unit, gas lines, exhaust hood system with associated ductwork, make-up air unit, associated electrical, fire suppression items, walk-in cooler and freezer, parking lot renovations, and doors and frames"
"Hyde Park Building & Material Supplies, Inc.",4630 S. Cottage Grove Ave.,43rd/Cottage Grove,08/08/2014,133400.00,100000.00,"HVAC improvements (furnace, condenser, ductwork, and thermostat); parking lot improvements (north of building: excavate and remove existing pavement and install asphalt; south and center of building: install asphalt surface; demolish and install new concrete pad); and replacement of office and warehouse roofs"
Fortineaux Associates,11622 S. Western Ave.,Western Rock Island,08/14/2014,14278.00,10708.50,"roofing, demolish overhang on roof, structure repairs, plywood and rafter replacement, proper leveling, plumbing, removal and disposal of damaged electrical pipes, rewiring of electrical on roof, gutters and downspouts"
Blue Buddha Boutique,1127 W. Granville Ave.,Hollywood/Sheridan,08/18/2014,35320.00,26490.00,"exterior work including installation of new awning system (frame and canvas); and interior work including carpentry and framing work, new drywall and insulation in kitchen and storage areas, sealing of wall openings around ducts in utility room and installation of new door to utility room per city code requirements"
"Marigold, Inc. ",8815 S. Dobson Ave.,Stony Island/Burnside,08/25/2014,149673.00,74836.50,new roofing systems
"Karmina Jewlery, Inc.",3610 W. Irving Park Rd.,Irving Park/Elston,08/28/2014,37203.00,27745.00,"new storefront windows and doors, new drywall, replacement of flooring with new tiling, interior trimwork and doors, painting and finishing, and building permits"
"Ossie C. Dockery Youth and Adult Center, Inc.",6733 S. South Chicago Ave.,West Woodlawn,08/28/2014,70000.00,51319.25,"exterior work including tuckpointing and masonry repairs on façade, removal of old awning frame and associated masonry repairs, and installation of front entry bump for handicap accessibility; and interior work including installation of furnace and AC with vents and ductwork, installation of cage system to secure rooftop condenser, carpentry and framing and drywall for ceilings and new walls, rough and finish electrical including light fixtures, new interior doorways, interior painting, carpeting, retrofitting of existing washroom for handicap accessibility, and electrical permit fees"
Illinois Engraving & Manufacturing Co.,4530 N. Ravenswood Ave.,Ravenswood,08/29/2014,9600.00,4625.50,new storefront windows and frames
"Maddiebird Bakery, LLC",1445 W. Devon Ave.,Devon/Sheridan,08/29/2014,21072.04,15804.03,"front dining area: demolition, installation of bead board and borders on side wall, new countertops; front kitchen area: epoxy flooring and new partition wall; plumbing materials and labor; install grease trap; install two permanent stainless steel shelves; venting for oven area; painting; remove and replace drop ceiling tiles; back kitchen area repairs including new back door and drywall; electrical; general contractor services; shed awning; new hood system and exhaust fan (venting for oven area); ADA grab bars; countertops materials; plumbing materials; permanent shelving materials"
Racine Paper Box Mfg. Inc.,3522 W. Potomac Ave.,Division/Homan,09/02/2014,101110.00,50555.00,"roofing, sprinklers, lighting , plumbing, doors, HVAC, tuck-pointing/masonry "
"Pediment Ventures, LLC - Series 6300",6300 S. Woodlawn Ave.,Woodlawn,09/02/2014,79800.00,34652.50,"HVAC, plumbing, flooring, carpentry, electrical. "
Gateway to Learning,4925 N. Lincoln Ave.,Western Avenue North,09/03/2014,39845.00,29883.75,"shed awning, bathroom remodeling for ADA compliance (demolition, framing, doors, masonry, wall openings for fixtures and ADA compliance, ceiling tiles, painting, flush valves, sinks, counters, partitions, grab bars, lighting)"
Jessica Hyang Koo,1523-31 W. Lawrence Ave.,Clark/Montrose,09/11/2014,134125.00,100000.00,façade renovation with aluminum panel system; roofing; soffits; lighting; new asphalt and painting for parking lot; repairs to aluminum storefront; clean and paint walls; remove and replace parking lot light pole and light; masonry repairs; and signage
Midwest Fence Corporation,3233 W. Grand Ave.,Division/Homan,09/11/2014,216450.00,101550.00,"installation of four new double pane sliding windows on front façade; the first half of a re-roofing project over the industrial warehouse manufacturing facility including disposal of defunct equipment, repairs to bow truss system, new insulation material and a modified bitumen membrane with new flashings and drainage systems"
"3740 West Irving Park, LLC / DuSable Construction, Inc.",3740-2 W. Irving Park Rd.,Irving Park/Elston,09/11/2014,53616.00,30921.00,"demolition, new roofing, and new gutters"
VZN Eyecare ,6814 N. Sheridan Rd. ,Devon/Sheridan,09/11/2014,62000.00,35000.00,"Walls, floor, ceiling, HVAC, electrical, plumbing, doors, bathroom tile, cabinetry, glass wall and painting. "
"Broadway Medical Office, S.C.",5449 N. Broadway ,Bryn Mawr/Broadway,09/11/2014,37500.00,21344.12,"balance of approved project scope: repairs to garage floor drainage and sump pump; HVAC improvements to lobby and hallway and associated ductwork, repairs to water damaged ceiling (including insulation, drywall, and ceiling tiles), painting, flooring, inspect and repair sewer line, demolish awnings, remove and replace entrance door and transom, tuckpoint facade at second floor, demolish stucco facade at first floor and replace with City Design Guideline compliant brick; deconvert two apartment units into space for additional medical office functionality (includes demolition, framing, drywall, and finish carpentry); demolish porch and private apartment entrance area and stairs; roofing"
"Priority Plumbing, Inc.",2542 W. Division St.,Humboldt Park,09/12/2014,32213.00,24159.75,"completion of the first floor build out for the plumbing company office including tool warehouse; flooring, insulation and drywall, electrical including light fixtures, plumbing and fixtures for new handicap accessible restrooms, installation of new ceiling tiles, and storefront renovations including new stonework, windows and doors"
"Baron's Shoes of Mt. Greenwood, Inc.",3101 W. 111th St.,111th/Kedzie,09/12/2014,9700.00,6225.00,resurfacing of parking lot with asphalt and replacing the damaged and worn carpet throughout the retail area of store
Serenity Family Wellness,641 W. Grand Ave.,River West,09/12/2014,54829.43,41122.07,rough and finish carpentry for build out of treatment and therapy rooms; modifications to ventilation system and ductwork; electrical system improvements and light fixtures; rough and finish plumbing including build out of handicap accessible restroom including fixtures; flooring; and masonry work to create rear doorway to meet City fire code and allow for handicap accessibility
"Little Kids Village, Inc.",3732 W. 63rd St.,63rd/Pulaski,09/16/2014,37588.77,28191.58,"exterior work including installation of a new storefront system including frame, windows and doors, and stone knee wall, masonry work and installation of exterior stairwell to second floor; and interior work including rough carpentry and framing, new footings and piers, an interior stairwell, new windows and doors, rough plumbing work, and HVAC work including furnace set up and duct work"
"Chicago Lock Box, LLC",3400 W. 111th St.,111th/Kedzie,09/22/2014,10977.00,8232.75,underground plumbing work to install a new 1” copper water service line including excavation and concrete work on the shop’s interior and on sidewalk
"3031 Whipple, LLC",3031 - 3037 W. 111th St.,111th/Kedzie,09/25/2014,154850.00,98584.00,"complete renovation of a vacant storefront consisting of: exterior improvements including masonry work and tuckpointing on façade; installation of new storefront system with window wall and entry doors; and interior renovations including concrete work; rough and finish carpentry; framing and drywall; installation of 900 amp electrical service, rough-in and light fixtures; rough and finish plumbing and fixtures; installation of HVAC system including ductwork; flooring and tiling, painting and finishing work"
"Copeland Dental, Inc. dba Copeland Dental Care",5955 W. Irving Park Rd.,West Irving Park,09/30/2014,39845.00,29883.75,"new aluminum storefront frames, new storefront windows, and a new door; aluminum frame shed fabric awning, permit expenses; HVAC improvements; new flooring, baseboards, and painting; demolition, drywall, painting, trim, ceiling tiles; cabinets and countertops; bathroom renovations (ceiling tiles, paiting, drywall, remove cabinets)"
The Roscoe Company,3535 W. Harrison St.,Midwest,10/15/2014,122459.95,60256.85,"roofing work including patching and repairs, removal of defunct rooftop equipment, cleaning and resealing of flashings, tuckpointing and masonry repairs on parapet walls; ceiling repairs and restoration to beams and joist and painting and priming of walls and ceilings throughout first and second floor; installation of a secure access control system (not including system software or monitors) that allows employees to enter from all access points; and replacement of an overhead steel door used by company trucks with all necessary framing and electrical connections"
"PAT, LLC",5719 W. North Ave. ,Austin Commercial,10/15/2014,20036.30,14802.23,"Tuck-pointing, masonry, HVAC"
"Sip and Savor Bronzeville, Inc.",528 E. 43rd St.,43rd/Cottage Grove,10/15/2014,38366.93,28775.20,"demolition of glass storefront, rolling shutters, and existing electrical; lighting; remove and replace furnace and HVAC condenser; install dehumidifier; interior carpentry and drywall repairs associated with storefront renovations; install new storefront system and doors; install brick wall under storefront ; repairs to concrete steps; painting"
"Empire Cooler Service, Inc.",940 W. Chicago Ave.,River West,10/16/2014,57817.60,28908.80,demolish existing sectional doors and replace with new sectional doors; construction of new structural subfloor; installation of corrosive resistant epoxy flooring; concrete restoration; demolition of old fencing and installation of new metal fencing and gates
Porchlight Music Theatre,4200 W. Diversey Ave.,Pulaski Industrial,10/16/2014,15500.00,11625.00,HVAC and ductwork
ABC Dance Academy,4444-6 N. Milwaukee Ave.,Jefferson Park,10/16/2014,14363.01,8748.45,"plumbing, painting, flooring, ceiling, lighting"
Crystal & Dominique House of Beauty/Master Thift Store,1730-36 E. 87th St. ,Stony Island/Burnside,10/16/2014,59700.00,44775.00,"carpentry, electrical, drywall, flooring, bathrooms, concrete, hot water tank, ceilings, lighting, and doors. "
Sunshine Gospel Ministries,501 E. 61st St.,West Woodlawn,10/17/2014,52427.00,32109.00,"plumbing, carpentry and stairs."
"James Calvetti Meats, Inc.",4240 S. Morgan St.,Stockyards Annex,10/21/2014,178830.83,77416.50,removal and replacement of nine (9) existing rooftop refrigeration units with nine (9) new energy efficient rooftop refrigeration units
The Purple Dream Corp. dba Via Lima Restaurant ,4020-24 N. Lincoln ,Western Avenue South,10/22/2014,153888.20,66666.67,"partial electrical, plumbing, HVAC, concrete, and facade."
"M & M Box Partition Co., Inc.",4141 W Grand Ave.,Pulaski Industrial,10/22/2014,53336.00,26668.00,"tuckpointing and masonry repairs to north elevation including caulking above window ledges and above capstone joints, parapet wall repairs, and installation of an 8” wrought iron fence and sliding gate system replacing a chain link system"
"Liberty Hardware Enterprise, Inc.",2534-8 E. 79th St.,Avalon Park/South Shore,10/23/2014,40000.00,30000.00,demolish old roof and replace with new roof for 2534 E. 79th St.
Karen Bowman,7400 S. Racine Ave.,79th St. Corridor,10/23/2014,24400.00,11346.00,"excavating the existing concrete and gravel lot, installing a new gravel sub-base, concrete barrier curbs, and installing a new asphalt surface with new drains and a concrete step by a rear exit doorway"
Roberts Touch B and Y Salon,1606 S. Pulaski Rd. ,Midwest,10/23/2014,14500.00,10875.00,"drywall, electrical, plumbing, flooring, ceiling, bathroom, lighting and painting. "
"Peace Infants and Toddler Center, LLC",6242 N. Clark St.,Clark/Ridge,10/24/2014,51243.03,38432.27,"demolition, framing, drywall, ceiling tiles, tile work, installation of new door jambs, frames, window openings, baseboards, trim, and lock sets, GC services, plumbing for mop basin, hand sinks, drinking fountain, three compartment and changing sinks; bathroom renovations (includes ADA-accessibility improvements and floor drains, and conversion of other bathrooms to water closets), fire alarm system, HVAC, electrical, architectural expenses, materials expenses, and permit expenses"
Pet Care Plus Ltd.,350 N. Laflin ,Kinzie Industrial,10/24/2014,232890.96,100000.00,"Roofing, Heating/Cooling, Electrical, Plumbing, Gas, Office Buildout, Parking"
Paket Corp.,9165 S. Harbor,South Chicago,10/24/2014,57125.00,27979.00,"removal of old windows and frames, damaged masonry, and installation of new glass black windows on north and south walls including exhaust fans, vents and limestone sills on 5 of the windows"
Porchlight Music Theatre,4200 W. Diversey Ave.,Pulaski Industrial,10/24/2014,10170.00,7627.50,fabricate and install perpendicular-mounted signage; demolition; build wall between dance studios with door; remove drop ceiling; install five windows in north rehearsal room
Racine Paper Box Mfg. Inc.,3522 W. Potomac Ave.,Division/Homan,10/25/2014,107599.00,53799.50,"Overhead door, HVAC, lighting, fencing, paving, and roofing."
"Circle Creations, Inc. dba Lion Circle ",4600 W. 72nd Street ,Greater Southwest West,10/27/2014,32347.75,16173.88,Roof replacement
"New Look Apparel, Inc.",3925 W. Madison St.,Madison/Austin,10/27/2014,62000.00,46500.00,"remodeling a retail store including storefront renovations including removal of knee wall, installation of new frame, doors and windows; removal and replacement of grid ceiling system and tiles; electrical work and light fixtures; framing and drywall work, new walls for retail area; new plumbing fixtures; flooring; painting and finishing and permit fees"
"Uptown Psychiatry Specialists, Inc.","4753 N. Broadway, Suite 918",Lawrence/Broadway,10/28/2014,66844.00,33422.00,"renovations to existing office space and buildout of new office space including creating an opening between two offices, carpentry and framing work, drywall and plaster work, insulation for sound in treatment rooms, insulation around ceiling mounted AC units, new light fixtures, outlets and switches, doors and interior windows, flooring and carpeting, painting and finishing work"
"Bam Auto House, Inc. / Peeple Trans Cab, Inc.",151 N. Cicero Ave.,Madison/Austin,10/28/2014,36000.00,27000.00,demolish old concrete slab and replace
"Audio Archaeology, Inc.",1324 W. Devon Ave.,Devon/Sheridan,10/28/2014,11440.00,8580.00,removal and replacement of storefront system and door; demolition and replacement of drywall and acoustical ceiling
Paws & Claws Daycare Inc,5015 N Western Ave,Western Avenue North,10/29/2014,1300.00,975.00,incidental roof patching associated with new façade siding and windows
GB Group Inc,3932 N Lincoln,Western Avenue South,10/31/2014,32000.00,24000.00,"exterior improvements including tuckpointing and copper restoration on the façade, replacement of exterior doors in the rear entry, upgrades to sliding wrought iron fencing with associated electrical and concrete work, installation of and wiring for security cameras, and installation of new gutters and downspouts; and interior renovations including replacement of water heater, interior carpentry and repairs, flooring, lighting upgrade, bathroom renovation, painting and finishing"
"Marcat, Inc. dba Anmar Foods",2142-50 W. Carroll Ave.,Kinzie Industrial,10/31/2014,43909.98,21954.99,repairs to sewer line; grease trap replacement; bathroom renovations; replacement of hydraulic leveler in loading dock area
"Jazzy Flowers, LLC ",35 S. Racine Ave. ,Central West,10/31/2014,39085.00,21875.00,"doors, flooring, painting, ductwork, cabinetry, countertops, electrical and plumbing. "
Duwell Fish Inc. #2,617 S. Pulaski Rd,Midwest,11/03/2014,118186.88,88640.16,"demolition and removal of dilapidated second story of the building, re-roofing the property, rough carpentry and framing work on the interior and for new roof structure, rough plumbing work including installation of a new water heater, rough electrical work, HVAC work, and masonry work including installing a new brick veneer on façade"
"Ruby's Restaurant, Inc.",3175 W. Madison St.,Midwest,11/03/2014,62481.00,46860.75,demolition; shed awning; provide missing metal storefront covers; clean and paint existing glazing and trim; brick cleaning; interior demolition of dining and back room areas; doors and hardware; patch walls; build partition wall; tile flooring for dining and private dining area; ceiling tiles throughout restaurant; painting throughout restaurant; exhaust fans for restrooms; and new light fixtures
"McKinney's Pub, Ltd. dba Chief O'Neill's Pub & Restaurant",3471 N. Elston Ave.,Kennedy/Kimball,11/03/2014,135000.00,100000.00,"canopy and scaffold expenses, permit expenses, architectural expenses, City Design Guideline compliant masonry repairs to exterior and façade, roofing"
"Hallberg-Valek Agency, Ltd.",3105 W. 111th St.,111th/Kedzie,11/04/2014,4100.00,2050.00,"removal of 1,104 SF of deteriorated asphalt, repair damaged electrical conduit under stone base, regrade lot, and resurface lot with 1.5"" bituminous binder"
"Kelly Rauch, LLC dba Twice",5450 W. Belmont Ave.,Belmont/Central,11/04/2014,10900.00,6540.00,new boiler and hot water heater
"Atomic Imaging/Adama, LLC/Golan Productions",1501 N Magnolia ,North Branch South,11/04/2014,107438.00,20402.50,new solar panel electrical improvements
"House of Hair, Inc.",4761 N. Milwaukee Ave.,Jefferson Park,11/05/2014,6500.00,4875.00,new shed awning
Oriental Kitchen Corp,223 N Justine,Kinzie Industrial,11/05/2014,125000.00,48017.00,"excavation of concrete floors and removal of old plumbing; installation of new underground plumbing with copper piping, new sink fixtures, floor drains and grease traps; installation of new panel walls and insulated ceiling tiles; new pitched concrete floors with insulation; installation of new walk-in cooler and freezers with proper venting and refrigeration connections"
